CUSTOMER#,INVOICE#,INV DATE,SHIP DATE,SHIP-TO NAME,SHIP-TO ADDR1,SHIP-TO ADDR2,SHIP-TO ADDR3,SHIP-TO CITY,SHIP-TO ST,SHIP-TO ZIP,SHIP-TO COUNTRY,PRODUCT#,QTY SHIP,UNIT PRICE,EXTENDED PRICE,UNIT COST,Vendor,DEALER CUST ID,DEALER PROD DESC
PJSDCO,642756,07/31/18,07/31/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,16116,3,$41.61,124.83,$32.25,DENTS,PJSDCO,Portrait IPN Anteriors 1x6
PJSDCO,642756,07/31/18,07/31/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,16176,3,$19.63,58.89,$15.21,DENTS,PJSDCO,Portrait IPN 22 Degree Biostabil Posterior 1x8
PJSDCO,011936,07/29/16,07/29/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,1013050,-1,$-51.35,-51.35,$-39.80,KEYSTO,PJSDCO,Diamond D Self Cure 1 Pd Original Shade Keystone
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,0CP04-128,1,$19.84,19.84,$15.38,KENDAL,PJSDCO,Opticide 3 Disinfectant Gallon/Pour Bottle
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,DF-PNK-MED-6PK,2,$43.37,86.74,$33.61,MYERSO,PJSDCO,"Duraflex Cartridges Shade: Pink, Medium 6/pack, CDM"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,8510,1,$23.19,23.19,$17.97,HARVEST,PJSDCO,Super Peg II Custom Peg putty 12cc syringe (Pack of 4)
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,B611,1,$34.84,34.84,$27.00,WAGNWI,PJSDCO,"Red Berry 26mm Coarse finishing wheel, Wagner"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,B621,1,$30.97,30.97,$24.00,WAGNWI,PJSDCO,"Diamond Infused Coarse Knife Edge Light Blue 26mm, Wagner"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,B631,1,$30.97,30.97,$24.00,WAGNWI,PJSDCO,"Diamond Infused Medium Knife Edge Pink 26mm, Wagner"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870002,1,$24.50,24.50,$18.99,GCAMER,PJSDCO,"Paste Opaque, OA2 Initial Porcelain 3g GC"
